time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,contact infectivity,duration,total population,recovering,succumbing,infectious,recovered,susceptible
18.65625,0,100,0.03125,0.03125,0.3,5,1000,5.532583276722572,7.68733711240426,27.66291638361286,51.02632570486515,926.3107579115238
18.6875,0,100,0.03125,0.03125,0.3,5,1000,5.546050488195583,7.704050861090984,27.730252440977914,51.19921893226273,926.0705286267611
18.71875,0,100,0.03125,0.03125,0.3,5,1000,5.559537990526179,7.720778727299311,27.797689952630897,51.37253301001884,925.829777037352
18.75,0,100,0.03125,0.03125,0.3,5,1000,5.573045745131012,7.737520600089382,27.865228725655058,51.546268572222786,925.5885027021238
18.78125,0,100,0.03125,0.03125,0.3,5,1000,5.586573712974501,7.754276367847479,27.932868564872507,51.72042625175813,925.346705183371
18.8125,0,100,0.03125,0.03125,0.3,5,1000,5.600121854567457,7.771045918285613,28.000609272837288,51.89500668028858,925.1043840468758
18.84375,0,100,0.03125,0.03125,0.3,5,1000,5.613690129965696,7.787829138441148,28.06845064982848,52.07001048824382,924.8615388619294
18.875,0,100,0.03125,0.03125,0.3,5,1000,5.627278498768668,7.8046259146764365,28.13639249384334,52.24543830480525,924.6181692013531
18.90625,0,100,0.03125,0.03125,0.3,5,1000,5.640886920118091,7.821436132678493,28.204434600590456,52.42129075789177,924.3742746415195
18.9375,0,100,0.03125,0.03125,0.3,5,1000,5.654515352696594,7.8382596774586695,28.27257676348297,52.59756847414546,924.1298547623733
18.96875,0,100,0.03125,0.03125,0.3,5,1000,5.668163754726357,7.855096433352367,28.340818773631785,52.77427207891723,923.8849091474527
19.0,0,100,0.03125,0.03125,0.3,5,1000,5.68183208396777,7.871946284018763,28.409160419838848,52.951402196252424,923.6394373839105
19.03125,0,100,0.03125,0.03125,0.3,5,1000,5.6955202977180885,7.8888091124405655,28.47760148859044,53.128959448876415,923.3934390625349
19.0625,0,100,0.03125,0.03125,0.3,5,1000,5.709228352810103,7.905684800923792,28.546141764050518,53.306944458180105,923.1469137777711
19.09375,0,100,0.03125,0.03125,0.3,5,1000,5.7229562056108145,7.922573231097557,28.61478102805407,53.485357844205424,922.8998611277423
19.125,0,100,0.03125,0.03125,0.3,5,1000,5.736703812020107,7.939474283913901,28.683519060100533,53.664200225630765,922.6522807142704
19.15625,0,100,0.03125,0.03125,0.3,5,1000,5.750471127469443,7.956387839647634,28.752355637347215,53.84347221975639,922.4041721428981
19.1875,0,100,0.03125,0.03125,0.3,5,1000,5.764258106920557,7.9733137778962,28.821290534602785,54.02317444248981,922.1555350229091
19.21875,0,100,0.03125,0.03125,0.3,5,1000,5.778064704864155,7.990251977579572,28.890323524320774,54.20330750833108,921.9063689673499
19.25,0,100,0.03125,0.03125,0.3,5,1000,5.791890875318626,8.00720231694016,28.95945437659313,54.383872030358084,921.6566735930505
19.28125,0,100,0.03125,0.03125,0.3,5,1000,5.805736571828761,8.024164673542753,29.028682859143803,54.56486862021179,921.4064485206461
19.3125,0,100,0.03125,0.03125,0.3,5,1000,5.819601747464473,8.041138924274488,29.098008737322367,54.746297888081436,921.155693374598
19.34375,0,100,0.03125,0.03125,0.3,5,1000,5.833486354819536,8.05812494534482,29.16743177409768,54.9281604426897,920.9044077832144
