time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,predation rate,predator death rate,predator efficiency,prey birth rate,predation,predator births,predator deaths,prey births,Predator,Prey
50.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,2.2622663601087503,0.0,5.655665900271876,0.0
51.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,2.036039724097875,0.0,5.090099310244688,0.0
51.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.8324357516880878,0.0,4.581089379220219,0.0
51.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.649192176519279,0.0,4.122980441298197,0.0
51.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.484272958867351,0.0,3.7106823971683776,0.0
52.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.3358456629806161,0.0,3.33961415745154,0.0
52.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.2022610966825544,0.0,3.0056527417063856,0.0
52.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,1.0820349870142987,0.0,2.705087467535747,0.0
52.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.9738314883128689,0.0,2.4345787207821723,0.0
53.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.876448339481582,0.0,2.191120848703955,0.0
53.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.7888035055334237,0.0,1.9720087638335593,0.0
53.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.7099231549800814,0.0,1.7748078874502033,0.0
53.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.6389308394820733,0.0,1.597327098705183,0.0
54.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.5750377555338659,0.0,1.4375943888346647,0.0
54.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.5175339799804793,0.0,1.2938349499511983,0.0
54.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.46578058198243144,0.0,1.1644514549560785,0.0
54.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.41920252378418826,0.0,1.0480063094604706,0.0
55.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.3772822714057694,0.0,0.9432056785144235,0.0
55.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.3395540442651925,0.0,0.8488851106629811,0.0
55.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.3055986398386732,0.0,0.763996599596683,0.0
55.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.2750387758548059,0.0,0.6875969396370147,0.0
56.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.2475348982693253,0.0,0.6188372456733132,0.0
56.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.2227814084423928,0.0,0.556953521105982,0.0
56.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.2005032675981535,0.0,0.5012581689953838,0.0
56.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.18045294083833818,0.0,0.4511323520958454,0.0
57.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.16240764675450436,0.0,0.40601911688626086,0.0
57.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.1461668820790539,0.0,0.36541720519763476,0.0
57.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.13155019387114852,0.0,0.3288754846778713,0.0
57.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.11839517448403368,0.0,0.2959879362100842,0.0
58.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.1065556570356303,0.0,0.26638914258907576,0.0
58.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.09590009133206728,0.0,0.23975022833016818,0.0
58.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.08631008219886055,0.0,0.21577520549715135,0.0
58.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0776790739789745,0.0,0.19419768494743622,0.0
59.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.06991116658107703,0.0,0.17477791645269258,0.0
59.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.06292004992296933,0.0,0.15730012480742334,0.0
59.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.05662804493067241,0.0,0.141570112326681,0.0
59.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.05096524043760517,0.0,0.1274131010940129,0.0
60.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.04586871639384465,0.0,0.11467179098461161,0.0
60.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.04128184475446018,0.0,0.10320461188615045,0.0
60.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.037153660279014164,0.0,0.0928841506975354,0.0
60.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.03343829425111274,0.0,0.08359573562778186,0.0
61.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.030094464826001473,0.0,0.07523616206500368,0.0
61.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.027085018343401324,0.0,0.06771254585850331,0.0
61.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.024376516509061193,0.0,0.06094129127265298,0.0
61.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.021938864858155074,0.0,0.05484716214538768,0.0
62.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.019744978372339565,0.0,0.04936244593084891,0.0
62.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.017770480535105607,0.0,0.04442620133776402,0.0
62.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.015993432481595047,0.0,0.039983581203987616,0.0
62.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.014394089233435542,0.0,0.035985223083588855,0.0
63.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.012954680310091988,0.0,0.03238670077522997,0.0
63.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.011659212279082789,0.0,0.02914803069770697,0.0
63.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.010493291051174511,0.0,0.026233227627936274,0.0
63.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.00944396194605706,0.0,0.023609904865142646,0.0
64.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.008499565751451351,0.0,0.02124891437862838,0.0
64.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.007649609176306218,0.0,0.019124022940765543,0.0
64.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.006884648258675595,0.0,0.017211620646688987,0.0
64.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.006196183432808036,0.0,0.015490458582020089,0.0
65.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.005576565089527232,0.0,0.01394141272381808,0.0
65.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.005018908580574509,0.0,0.012547271451436273,0.0
65.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.004517017722517058,0.0,0.011292544306292646,0.0
65.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.004065315950265352,0.0,0.010163289875663381,0.0
66.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0036587843552388175,0.0,0.009146960888097043,0.0
66.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0032929059197149358,0.0,0.008232264799287339,0.0
66.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0029636153277434424,0.0,0.007409038319358605,0.0
66.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.002667253794969098,0.0,0.006668134487422745,0.0
67.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.002400528415472188,0.0,0.00600132103868047,0.0
67.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0021604755739249694,0.0,0.005401188934812423,0.0
67.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,0.0019444280165324724,0.0,0.004861070041331181,0.0
