Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
52,1009.87075987,12.4250602868,0.03,20.1974151973,0.02,414.168676226,16.566747049,0.04,30.296122796,0.03
52.25,1010.45234804,12.4348426527,0.03,20.2090469608,0.02,414.494755091,16.5797902036,0.04,30.3135704411,0.03
52.5,1011.03492783,12.4445846846,0.03,20.2206985566,0.02,414.819489487,16.5927795795,0.04,30.3310478349,0.03
52.75,1011.61848668,12.4542873114,0.03,20.2323697337,0.02,415.14291038,16.6057164152,0.04,30.3485546005,0.03
53,1012.20301229,12.463951443,0.03,20.2440602459,0.02,415.465048099,16.6186019239,0.04,30.3660903688,0.03
53.25,1012.78849262,12.4735779705,0.03,20.2557698525,0.02,415.785932349,16.631437294,0.04,30.3836547787,0.03
53.5,1013.37491589,12.4831677668,0.03,20.2674983177,0.02,416.105592228,16.6442236891,0.04,30.4012474766,0.03
53.75,1013.96227054,12.492721687,0.03,20.2792454107,0.02,416.424056233,16.6569622493,0.04,30.4188681161,0.03
54,1014.55054528,12.5022405683,0.03,20.2910109057,0.02,416.741352278,16.6696540911,0.04,30.4365163585,0.03
54.25,1015.13972906,12.5117252311,0.03,20.3027945812,0.02,417.057507702,16.6823003081,0.04,30.4541918718,0.03
54.5,1015.72981105,12.5211764786,0.03,20.3145962209,0.02,417.372549286,16.6949019714,0.04,30.4718943314,0.03
54.75,1016.32078064,12.5305950977,0.03,20.3264156128,0.02,417.686503256,16.7074601302,0.04,30.4896234192,0.03
55,1016.91262746,12.5399818591,0.03,20.3382525492,0.02,417.999395304,16.7199758122,0.04,30.5073788238,0.03
55.25,1017.50534136,12.5493375178,0.03,20.3501068272,0.02,418.311250592,16.7324500237,0.04,30.5251602407,0.03
55.5,1018.09891238,12.558662813,0.03,20.3619782477,0.02,418.622093767,16.7448837507,0.04,30.5429673715,0.03
55.75,1018.69333081,12.5679584691,0.03,20.3738666161,0.02,418.931948969,16.7572779587,0.04,30.5607999242,0.03
56,1019.2885871,12.5772251953,0.03,20.3857717419,0.02,419.240839843,16.7696335937,0.04,30.5786576129,0.03
56.25,1019.88467193,12.5864636865,0.03,20.3976934385,0.02,419.548789549,16.781951582,0.04,30.5965401578,0.03
56.5,1020.48157617,12.5956746231,0.03,20.4096315234,0.02,419.855820771,16.7942328308,0.04,30.6144472851,0.03
56.75,1021.07929088,12.6048586719,0.03,20.4215858177,0.02,420.161955729,16.8064782292,0.04,30.6323787265,0.03
57,1021.67780733,12.6140164856,0.03,20.4335561465,0.02,420.467216185,16.8186886474,0.04,30.6503342198,0.03
57.25,1022.27711693,12.6231487037,0.03,20.4455423386,0.02,420.771623457,16.8308649383,0.04,30.6683135078,0.03
57.5,1022.87721131,12.6322559527,0.03,20.4575442262,0.02,421.075198423,16.8430079369,0.04,30.6863163394,0.03
