time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,population total,recovery rate,transmission rate,infection,recovery,Infected,Recovered,Susceptible
39.25,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,7.141724484876122,19.091467116443127,190.91467116443127,684.3921968844007,124.6931319511688
39.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,6.929311331831175,18.792723550653953,187.92723550653952,689.1650636635115,122.90770082994976
39.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,6.723829352592069,18.496138245183385,184.96138245183383,693.8632445511751,121.17537299699197
40.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,6.525051306754474,18.2018305228686,182.018305228686,698.4872791124709,119.49441565884395
40.25,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,6.3327557472253355,17.909911042465747,179.09911042465745,703.037736743188,117.86315283215534
40.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,6.146727088179877,17.620482160084734,176.20482160084734,707.5152145038045,116.279963895349
40.75,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,5.966755643287545,17.33363828328711,173.33638283287112,711.9203350438256,114.74328212330403
41.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,5.792637637590469,17.049466217287126,170.49466217287124,716.2537446146474,113.25159321248213
41.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,5.624175196136446,16.76804550279471,167.6804550279471,720.5161111689692,111.80343380308452
41.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,5.461176312203164,16.489448745128254,164.89448745128252,724.708122544668,110.39739000405041
41.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,5.303454797701672,16.213741934305126,162.13741934305125,728.83048473095,109.03209592599961
42.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,5.1508302181145105,15.94098475589004,159.4098475589004,732.8839202145264,107.7062322265742
42.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,5.003127814107147,15.671230892445653,156.71230892445652,736.8691664034989,106.41852467204558
42.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,4.860178411749879,15.404528315487191,154.0452831548719,740.7869741266103,105.1677427185188
42.75,0,100,0.25,0.25,1000.000000000001,0.1,0.3,4.721818323100669,15.140919567893759,151.40919567893758,744.6381062054821,103.95269811558133
