time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,photosynthesis rate,respiration rate,photosynthesis,respiration,Atmosphere C,Land C
73.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
73.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
73.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
73.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
74.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
74.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
74.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
74.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
75.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
75.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
75.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
75.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
76.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
76.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
76.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
76.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
77.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
77.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
77.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
77.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
78.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
78.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
78.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
78.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
79.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
79.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
79.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
79.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
80.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
80.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
80.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
80.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
81.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
81.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
81.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
81.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
82.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
82.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
82.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
82.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
